session,arm,passed,elapsedMs,jevInput,jevOutput,knownJevUsd,unknownUsage,error
final-0,direct,True,2017.118,0,0,0.0,0,
final-1,legacy,True,3558.7231249999995,1903,258,7.992600000000001e-05,0,
final-2,choice,True,2957.1268330000003,1364,97,5.7288000000000004e-05,0,
final-3,choice,True,3252.05825,1364,97,5.7288000000000004e-05,0,
final-4,legacy,True,2792.857833,1903,258,7.992600000000001e-05,0,
final-5,legacy,True,3010.1376249999958,1903,258,7.992600000000001e-05,0,
final-6,choice,True,2708.4877500000002,1364,97,5.7288000000000004e-05,0,
final-7,choice,True,2749.7184999999954,1364,97,5.7288000000000004e-05,0,
final-8,legacy,True,2974.929959000001,1903,258,7.992600000000001e-05,0,
final-9,direct,True,1989.7244589999973,0,0,0.0,0,
