evidenceClass,id,passed,wallMs,inputTokens,cachedInputTokens,uncachedInputTokens,outputTokens,totalTokens,jevCalls,actualSwitches
pilot-discarded,gpt-6-sol-top-level,False,16976,74385,66816,7569,274,74659,0,0
pilot-discarded,gpt-6-sol-append,False,25236,74247,66816,7431,249,74496,0,0
pilot-discarded,gpt-5.6-sol-append,False,26683,71297,56064,15233,467,71764,0,0
pilot-discarded,gpt-5.6-sol-top-level,False,150001,27943,0,27943,206,28149,0,0
transport-pair,gpt-6-sol-top-level,True,14956,74452,52224,22228,278,74730,0,1
transport-pair,gpt-6-sol-append,True,14689,74377,67072,7305,274,74651,0,1
transport-pair,gpt-5.6-sol-append,True,24909,71436,42112,29324,394,71830,0,1
transport-pair,gpt-5.6-sol-top-level,True,26027,71885,49792,22093,515,72400,0,1
model-compatibility,gpt-6-astra-append,True,22762,76577,45312,31265,206,76783,0,1
model-compatibility,gpt-6-luna-append,True,13016,73274,60160,13114,238,73512,0,1
model-compatibility,gpt-5.6-terra-append,True,19329,71071,61184,9887,421,71492,0,1
model-compatibility,gpt-5.6-luna-append,True,22734,64017,54016,10001,522,64539,0,1
compaction,gpt-6-sol-append,True,36367,74234,60672,13562,234,74468,0,1
compaction-resume,gpt-6-sol-append,True,20251,90359,60672,29687,393,90752,0,1
semantic-first,gpt-6-sol-semantic-0-bare,True,62972,182693,158592,24101,2489,185182,0,0
semantic-first,gpt-6-sol-semantic-0-evidence,True,62476,261433,232192,29241,1902,263335,0,0
semantic-guidance,gpt-6-sol-semantic-0-evidence,True,101679,272987,249728,23259,3141,276128,0,0
