id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-astra-cross_file-0-bare,cross_file,bare,1,15153,8832,113,0,15266
gpt-6-astra-cross_file-0-bare,cross_file,bare,2,15386,14976,101,0,15487
gpt-6-astra-cross_file-0-bare,cross_file,bare,3,15918,15232,2148,224,18066
gpt-6-astra-cross_file-0-bare,cross_file,bare,4,20050,15744,684,104,20734
gpt-6-astra-cross_file-0-bare,cross_file,bare,5,21668,19840,1013,62,22681
gpt-6-astra-cross_file-0-bare,cross_file,bare,6,22766,21504,67,0,22833
gpt-6-astra-cross_file-0-combined,cross_file,combined,1,16073,0,89,0,16162
gpt-6-astra-cross_file-0-combined,cross_file,combined,2,16282,15872,50,0,16332
gpt-6-astra-cross_file-0-combined,cross_file,combined,3,16887,16128,2557,146,19444
gpt-6-astra-cross_file-0-combined,cross_file,combined,4,19519,16768,2143,18,21662
gpt-6-astra-cross_file-0-combined,cross_file,combined,5,21686,19328,88,0,21774
gpt-6-astra-cross_file-0-combined,cross_file,combined,6,22172,21504,774,22,22946
gpt-6-astra-cross_file-0-combined,cross_file,combined,7,23033,22016,75,0,23108
gpt-6-astra-incident-0-combined,incident,combined,1,16278,0,141,0,16419
gpt-6-astra-incident-0-combined,incident,combined,2,18375,16128,167,0,18542
gpt-6-astra-incident-0-combined,incident,combined,3,21674,18176,198,18,21872
gpt-6-astra-incident-0-combined,incident,combined,4,22215,21504,931,0,23146
gpt-6-astra-incident-0-combined,incident,combined,5,23231,22016,62,0,23293
gpt-6-astra-incident-0-bare,incident,bare,1,15255,0,104,0,15359
gpt-6-astra-incident-0-bare,incident,bare,2,15456,15104,29,0,15485
gpt-6-astra-incident-0-bare,incident,bare,3,25886,15232,108,0,25994
gpt-6-astra-incident-0-bare,incident,bare,4,26318,25728,1069,0,27387
gpt-6-astra-incident-0-bare,incident,bare,5,27471,26112,84,0,27555
gpt-6-astra-cross_file-1-combined,cross_file,combined,1,16066,0,89,0,16155
gpt-6-astra-cross_file-1-combined,cross_file,combined,2,16274,15872,50,0,16324
gpt-6-astra-cross_file-1-combined,cross_file,combined,3,16880,0,803,132,17683
gpt-6-astra-cross_file-1-combined,cross_file,combined,4,17740,16128,1954,0,19694
gpt-6-astra-cross_file-1-combined,cross_file,combined,5,19975,17536,709,10,20684
gpt-6-astra-cross_file-1-combined,cross_file,combined,6,20830,19840,78,0,20908
gpt-6-astra-cross_file-1-bare,cross_file,bare,1,15162,0,125,0,15287
gpt-6-astra-cross_file-1-bare,cross_file,bare,2,15409,14976,105,0,15514
gpt-6-astra-cross_file-1-bare,cross_file,bare,3,15983,15232,2703,124,18686
gpt-6-astra-cross_file-1-bare,cross_file,bare,4,18710,15744,100,0,18810
gpt-6-astra-cross_file-1-bare,cross_file,bare,5,19237,18560,792,37,20029
gpt-6-astra-cross_file-1-bare,cross_file,bare,6,20116,19072,91,0,20207
gpt-6-astra-incident-1-bare,incident,bare,1,15254,0,98,0,15352
gpt-6-astra-incident-1-bare,incident,bare,2,15448,15104,33,0,15481
gpt-6-astra-incident-1-bare,incident,bare,3,25927,15232,94,0,26021
gpt-6-astra-incident-1-bare,incident,bare,4,26343,25728,1186,0,27529
gpt-6-astra-incident-1-bare,incident,bare,5,27615,26112,76,0,27691
gpt-6-astra-incident-1-combined,incident,combined,1,16285,0,147,0,16432
gpt-6-astra-incident-1-combined,incident,combined,2,18423,16128,161,0,18584
gpt-6-astra-incident-1-combined,incident,combined,3,29131,0,73,0,29204
gpt-6-astra-incident-1-combined,incident,combined,4,29485,28928,938,0,30423
gpt-6-astra-incident-1-combined,incident,combined,5,30501,29312,79,0,30580
