id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-sol-repository-0-bare,repository,bare,1,14781,8320,367,51,15148
gpt-6-sol-repository-0-bare,repository,bare,2,15182,14592,305,37,15487
gpt-6-sol-repository-0-bare,repository,bare,3,16553,14976,182,22,16735
gpt-6-sol-repository-0-bare,repository,bare,4,17261,16384,130,18,17391
gpt-6-sol-repository-0-bare,repository,bare,5,17869,17024,513,255,18382
gpt-6-sol-repository-0-bare,repository,bare,6,18807,17664,71,12,18878
gpt-6-sol-repository-0-bare,repository,bare,7,18932,18688,1221,44,20153
gpt-6-sol-repository-0-bare,repository,bare,8,20177,8320,295,33,20472
gpt-6-sol-repository-0-bare,repository,bare,9,21452,19968,268,73,21720
gpt-6-sol-repository-0-combined,repository,combined,1,15714,9088,136,11,15850
gpt-6-sol-repository-0-combined,repository,combined,2,15912,15616,80,18,15992
gpt-6-sol-repository-0-combined,repository,combined,3,17094,15744,72,12,17166
gpt-6-sol-repository-0-combined,repository,combined,4,17264,16896,144,0,17408
gpt-6-sol-repository-0-combined,repository,combined,5,17927,17152,207,26,18134
gpt-6-sol-repository-0-combined,repository,combined,6,18451,17792,683,0,19134
gpt-6-sol-repository-0-combined,repository,combined,7,19158,18304,73,11,19231
gpt-6-sol-repository-0-combined,repository,combined,8,19463,19072,149,0,19612
gpt-6-sol-repository-1-combined,repository,combined,1,15693,0,113,11,15806
gpt-6-sol-repository-1-combined,repository,combined,2,16465,15488,75,7,16540
gpt-6-sol-repository-1-combined,repository,combined,3,17636,16256,120,14,17756
gpt-6-sol-repository-1-combined,repository,combined,4,18108,17536,148,0,18256
gpt-6-sol-repository-1-combined,repository,combined,5,18763,17920,165,18,18928
gpt-6-sol-repository-1-combined,repository,combined,6,19775,18560,765,0,20540
gpt-6-sol-repository-1-combined,repository,combined,7,21111,19712,146,0,21257
gpt-6-sol-repository-1-bare,repository,bare,1,14780,8320,145,38,14925
gpt-6-sol-repository-1-bare,repository,bare,2,15626,14592,144,12,15770
gpt-6-sol-repository-1-bare,repository,bare,3,22620,15488,132,10,22752
gpt-6-sol-repository-1-bare,repository,bare,4,23053,22400,138,16,23191
gpt-6-sol-repository-1-bare,repository,bare,5,23750,22912,390,244,24140
gpt-6-sol-repository-1-bare,repository,bare,6,24490,23552,1385,152,25875
gpt-6-sol-repository-1-bare,repository,bare,7,25899,24320,286,28,26185
gpt-6-sol-repository-1-bare,repository,bare,8,26259,25728,195,37,26454
