id,model,task,repeat,arm,startedAt,status,passed,wallMs,startupMs,totalMs,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,uncachedInputTokens,generations,jevCalls,jevFailures,jevUnknownUsage,jevInputTokens,jevOutputTokens,jevRequestMs,routerDecisions,routerDecisionMs,startChanges,nativeAppliedChanges,nativeRestores,preparedOutputs,evidenceOperations,recalls,hookSubmissions,knownAllModelTokens,budgetHeldDecisions,recommendedChanges,knownJevInputUsdEstimate,usageNotifications,duplicateUsageNotifications,firstInputTokens,historyGrowthTokens,commands,identicalCommandRepeats,observedToolSpanUnionMs,nativeCommandDurationUsable
gpt-6-sol-cross_file-0-bare,gpt-6-sol,cross_file,0,bare,2026-09-25T08:49:20.699Z,completed,True,125760,79,125839,145943,106624,4709,1722,150652,39319,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150652,0,0,0.0,8,0,14698,28359,11,0,291.734,False
gpt-6-sol-cross_file-0-combined,gpt-6-sol,cross_file,0,combined,2026-09-25T08:51:26.674Z,completed,True,81607,258,81865,142014,125568,3233,632,145247,16446,8,5,0,0,7080,530,2115,5,2326,0,1,0,0,0,0,0,152857,0,1,0.00029736000000000004,8,0,15628,16990,11,0,336.762,False
gpt-6-sol-incident-0-combined,gpt-6-sol,incident,0,combined,2026-09-25T08:52:48.675Z,completed,True,33348,265,33613,69602,33408,1086,120,70688,36194,4,4,0,0,7572,424,1105,4,1262,0,1,0,0,0,0,0,78684,0,1,0.000318024,4,0,15843,6230,4,0,137.283,False
gpt-6-sol-incident-0-bare,gpt-6-sol,incident,0,bare,2026-09-25T08:53:22.379Z,completed,True,42557,75,42632,136639,116224,1737,299,138376,20415,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138376,0,0,0.0,6,0,14798,47851,8,0,130.787,False
gpt-6-sol-repository-0-bare,gpt-6-sol,repository,0,bare,2026-09-25T08:54:05.340Z,completed,True,71680,76,71756,182794,162176,2529,533,185323,20618,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185323,0,0,0.0,8,0,14780,64554,8,0,127.431,False
gpt-6-sol-repository-0-combined,gpt-6-sol,repository,0,combined,2026-09-25T08:55:17.454Z,completed,True,49363,257,49620,113885,101120,1916,156,115801,12765,6,4,0,0,7692,424,1961,4,2119,0,1,0,0,0,0,0,123917,0,1,0.000323064,6,0,15716,19589,4,0,135.192,False
gpt-6-sol-semantic-0-combined,gpt-6-sol,semantic,0,combined,2026-09-25T08:56:07.194Z,completed,True,40108,271,40379,188222,160000,1261,307,189483,28222,8,4,0,0,7338,424,1077,4,1233,0,0,0,0,0,0,0,197245,0,0,0.000308196,8,0,15732,62366,4,0,74.339,False
gpt-6-sol-semantic-0-bare,gpt-6-sol,semantic,0,bare,2026-09-25T08:56:47.669Z,completed,True,46231,75,46306,143819,116608,1696,198,145515,27211,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145515,0,0,0.0,7,0,14701,40912,7,0,60.21,False
gpt-6-sol-cross_file-1-combined,gpt-6-sol,cross_file,1,combined,2026-09-25T08:57:34.059Z,completed,True,86068,262,86330,144654,123648,3404,747,148058,21006,8,5,0,0,7475,530,2034,5,2244,0,1,0,0,0,0,0,156063,0,1,0.00031395000000000007,8,0,15626,19646,12,1,318.638,False
gpt-6-sol-cross_file-1-bare,gpt-6-sol,cross_file,1,bare,2026-09-25T08:59:00.524Z,completed,True,102077,74,102151,143455,129152,4509,1495,147964,14303,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147964,0,0,0.0,8,0,14698,25871,12,1,338.975,False
gpt-6-sol-incident-1-bare,gpt-6-sol,incident,1,bare,2026-09-25T09:00:42.814Z,completed,True,49255,71,49326,153254,132352,1969,285,155223,20902,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155223,0,0,0.0,7,0,14803,49633,8,0,133.613,False
gpt-6-sol-incident-1-combined,gpt-6-sol,incident,1,combined,2026-09-25T09:01:32.221Z,completed,True,40984,250,41234,110836,89472,1224,112,112060,21364,6,4,0,0,8263,424,1666,4,1826,0,1,0,0,0,0,0,120747,0,1,0.00034704600000000005,6,0,15841,15790,5,0,125.502,False
gpt-6-sol-repository-1-combined,gpt-6-sol,repository,1,combined,2026-09-25T09:02:13.842Z,completed,True,45714,261,45975,116528,94080,1774,145,118302,22448,6,4,0,0,7816,424,1216,4,1373,0,1,0,0,0,0,0,126542,0,1,0.00032827200000000006,6,0,15705,22298,4,0,123.383,False
gpt-6-sol-repository-1-bare,gpt-6-sol,repository,1,bare,2026-09-25T09:03:00.168Z,completed,True,102766,75,102841,262164,215296,4435,710,266599,46868,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266599,0,0,0.0,10,0,14767,114494,15,0,173.358,False
gpt-6-sol-semantic-1-bare,gpt-6-sol,semantic,1,bare,2026-09-25T09:04:43.131Z,completed,True,61391,95,61486,210843,186368,2460,766,213303,24475,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213303,0,0,0.0,9,0,14715,78408,8,0,63.218,False
gpt-6-sol-semantic-1-combined,gpt-6-sol,semantic,1,combined,2026-09-25T09:05:44.698Z,completed,True,47205,254,47459,167731,151168,1553,306,169284,16563,8,4,0,0,7756,424,2618,4,2774,0,0,0,0,0,0,0,177464,0,0,0.000325752,8,0,15737,41835,6,0,70.608,False
