id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-astra-incident-0-bare,incident,bare,1,15267,0,106,0,15373
gpt-6-astra-incident-0-bare,incident,bare,2,15470,15104,33,0,15503
gpt-6-astra-incident-0-bare,incident,bare,3,25951,15232,94,0,26045
gpt-6-astra-incident-0-bare,incident,bare,4,26368,25728,1023,0,27391
gpt-6-astra-incident-0-bare,incident,bare,5,27481,26240,76,0,27557
gpt-6-astra-incident-0-combined,incident,combined,1,16177,9600,108,0,16285
gpt-6-astra-incident-0-combined,incident,combined,2,16850,9600,53,0,16903
gpt-6-astra-incident-0-combined,incident,combined,3,18777,16640,94,0,18871
gpt-6-astra-incident-0-combined,incident,combined,4,19194,18688,932,0,20126
gpt-6-astra-incident-0-combined,incident,combined,5,20202,19072,77,0,20279
gpt-6-astra-semantic-0-combined,semantic,combined,1,16076,0,95,0,16171
gpt-6-astra-semantic-0-combined,semantic,combined,2,16983,15872,43,0,17026
gpt-6-astra-semantic-0-combined,semantic,combined,3,18523,16896,186,0,18709
gpt-6-astra-semantic-0-combined,semantic,combined,4,20029,18432,83,18,20112
gpt-6-astra-semantic-0-combined,semantic,combined,5,20793,19840,563,0,21356
gpt-6-astra-semantic-0-combined,semantic,combined,6,21435,20608,51,0,21486
gpt-6-astra-semantic-0-bare,semantic,bare,1,15156,8832,103,0,15259
gpt-6-astra-semantic-0-bare,semantic,bare,2,15360,14976,35,0,15395
gpt-6-astra-semantic-0-bare,semantic,bare,3,23404,15232,264,13,23668
gpt-6-astra-semantic-0-bare,semantic,bare,4,25032,23168,112,37,25144
gpt-6-astra-semantic-0-bare,semantic,bare,5,25822,24832,623,0,26445
gpt-6-astra-semantic-0-bare,semantic,bare,6,26531,25600,54,0,26585
gpt-6-astra-incident-1-combined,incident,combined,1,16175,0,108,0,16283
gpt-6-astra-incident-1-combined,incident,combined,2,16847,16000,53,0,16900
gpt-6-astra-incident-1-combined,incident,combined,3,18774,16640,94,0,18868
gpt-6-astra-incident-1-combined,incident,combined,4,19189,18688,925,0,20114
gpt-6-astra-incident-1-combined,incident,combined,5,20197,19072,85,0,20282
gpt-6-astra-incident-1-bare,incident,bare,1,15267,8832,103,0,15370
gpt-6-astra-incident-1-bare,incident,bare,2,15468,15104,33,0,15501
gpt-6-astra-incident-1-bare,incident,bare,3,25949,15232,59,0,26008
gpt-6-astra-incident-1-bare,incident,bare,4,26331,25728,1022,0,27353
gpt-6-astra-incident-1-bare,incident,bare,5,27441,26112,78,0,27519
gpt-6-astra-semantic-1-bare,semantic,bare,1,15157,8832,118,0,15275
gpt-6-astra-semantic-1-bare,semantic,bare,2,15375,14976,35,0,15410
gpt-6-astra-semantic-1-bare,semantic,bare,3,23418,15232,266,17,23684
gpt-6-astra-semantic-1-bare,semantic,bare,4,25048,23296,671,32,25719
gpt-6-astra-semantic-1-bare,semantic,bare,5,25805,24832,75,0,25880
gpt-6-astra-semantic-1-combined,semantic,combined,1,16081,9600,105,0,16186
gpt-6-astra-semantic-1-combined,semantic,combined,2,16756,15872,43,0,16799
gpt-6-astra-semantic-1-combined,semantic,combined,3,18163,16640,171,0,18334
gpt-6-astra-semantic-1-combined,semantic,combined,4,19654,18048,179,38,19833
gpt-6-astra-semantic-1-combined,semantic,combined,5,20432,19456,471,0,20903
gpt-6-astra-semantic-1-combined,semantic,combined,6,20974,20224,50,0,21024
