id,task,arm,status,passed,wallMs,startupMs,totalMs,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,uncachedInputTokens,generations,jevCalls,jevFailures,jevUnknownUsage,jevInputTokens,jevOutputTokens,jevRequestMs,routerDecisions,routerDecisionMs,startChanges,nativeAppliedChanges,nativeRestores,preparedOutputs,evidenceOperations,recalls,hookSubmissions,knownAllModelTokens,budgetHeldDecisions,recommendedChanges,knownJevInputUsdEstimate,usageNotifications,duplicateUsageNotifications,firstInputTokens,historyGrowthTokens,commands,identicalCommandRepeats,observedToolSpanUnionMs,nativeCommandDurationUsable
gpt-6-sol-cross_file-0-bare,cross_file,bare,completed,True,116820,75,116895,162879,147712,5284,1657,168163,15167,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168163,0,0,0.0,9,0,14697,30606,10,0,299.263,False
gpt-6-sol-cross_file-0-routing,cross_file,routing,completed,True,116732,105,116837,167043,151552,5135,2192,172178,15491,9,5,0,0,8183,530,4619,5,4827,0,0,0,0,0,0,0,180891,1,1,0.00034368600000000006,9,0,14698,34761,12,2,415.09,False
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,completed,True,105515,191,105706,158319,142720,4531,1692,162850,15599,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162850,0,0,0.0,8,0,15615,33399,10,0,311.712,False
gpt-6-sol-cross_file-0-combined,cross_file,combined,completed,True,113628,183,113811,137736,113408,5014,1812,142750,24328,7,6,0,0,11079,636,5043,6,5249,0,0,0,0,0,0,0,154465,1,2,0.00046531800000000005,7,0,15629,28333,8,0,559.958,False
gpt-6-sol-incident-0-evidence,incident,evidence,completed,True,53648,181,53829,118154,93696,1880,311,120034,24458,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120034,0,0,0.0,6,0,15729,23780,8,0,124.978,False
gpt-6-sol-incident-0-bare,incident,bare,completed,True,46201,68,46269,136079,115712,1757,329,137836,20367,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137836,0,0,0.0,6,0,14812,47207,7,0,113.153,False
gpt-6-sol-incident-0-combined,incident,combined,completed,True,51357,177,51534,99035,57088,1481,164,100516,41947,5,4,0,0,8109,424,2648,4,2804,0,1,0,0,0,0,0,109049,0,1,0.000340578,5,0,15736,20355,8,0,124.83,False
gpt-6-sol-incident-0-routing,incident,routing,completed,True,49797,96,49893,136658,90240,1653,151,138311,46418,6,3,1,1,3686,212,4152,2,2191,0,1,0,0,0,0,0,142209,0,1,0.00015481200000000002,6,0,14812,47786,6,0,120.49,False
gpt-6-sol-repository-0-combined,repository,combined,completed,True,86528,180,86708,168222,137728,2759,499,170981,30494,7,5,0,0,10170,530,3669,5,3874,0,0,0,0,0,0,0,181681,1,1,0.00042714000000000006,7,0,15703,58301,12,0,132.029,False
gpt-6-sol-repository-0-evidence,repository,evidence,completed,True,76818,183,77001,188450,150528,3188,457,191638,37922,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191638,0,0,0.0,8,0,15696,62882,15,0,126.853,False
gpt-6-sol-repository-0-routing,repository,routing,completed,True,74161,98,74259,157984,137728,2974,367,160958,20256,7,5,0,0,9361,530,3909,5,4117,0,0,0,0,0,0,0,170849,1,1,0.000393162,7,0,14774,54566,16,0,130.431,False
gpt-6-sol-repository-0-bare,repository,bare,completed,True,105566,75,105641,200556,178432,4223,1007,204779,22124,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204779,0,0,0.0,9,1,14774,82364,13,1,169.933,False
