phase,id,arm,repeat,status,passed,endToEndMs,startupMs,generationsWithUsage,inputTokens,cachedInputTokens,outputTokens,gptTokens,uncachedInputTokens,jevCalls,jevInputTokens,jevOutputTokens,jevUnknownUsage,knownAllTokens,usageComplete,investigations,recalls,hintSubmissions,observedToolIntervalUnionMs
tool_only,policy-bare,bare,,completed,True,77166.451875,66.998209,6,126344,108928,2001,128345,17416,0,0,0,0,128345,True,0,0,0,0.3250000000152795
tool_only,policy-jev,jev,,completed,True,41335.338084,108.93324999998731,5,100402,85632,877,101279,14770,0,0,0,0,101279,True,0,0,0,0.2799999999933789
tool_only,policy-local,local,,completed,True,44515.88529199999,107.83108400000492,5,104454,78848,870,105324,25606,0,0,0,0,105324,True,0,0,0,0.33100000000558794
tool_only,cursor-local,local,,timeout,False,120001.251625,109.86337499998626,3,48507,31616,1958,50465,16891,0,0,0,0,50465,False,0,0,0,0.10399999999935972
guided,policy-local,local,,completed,True,45233.783792,82.587416,5,109017,81920,1121,110138,27097,0,0,0,0,110138,True,1,1,1,18.06199999999535
guided,policy-bare,bare,,completed,True,45516.975583,79.07429199999751,5,100593,75776,842,101435,24817,0,0,0,0,101435,True,0,0,0,0.36499999999796273
guided,policy-jev,jev,,completed,True,72802.330875,80.41045799999847,5,109404,81920,1636,111040,27484,0,0,0,0,111040,True,1,0,1,14.210999999992055
packed,policy-bare-0,bare,0,completed,True,98094.776583,73.331375,5,100732,84736,879,101611,15996,0,0,0,0,101611,True,0,0,0,0.17099999998754356
packed,policy-jev-0,jev,0,completed,True,92370.727416,81.09704200000851,4,77293,54272,1037,78330,23021,0,0,0,0,78330,True,1,0,1,15.103000000002794
packed,policy-jev-1,jev,1,completed,True,107103.009292,89.01083400001517,4,80481,55808,882,81363,24673,0,0,0,0,81363,True,1,0,1,17.662999999996828
packed,policy-bare-1,bare,1,completed,True,74253.02629100002,73.53845799999544,5,96533,72960,887,97420,23573,0,0,0,0,97420,True,0,0,0,0.2630000000062864
