id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-astra-incident-0-bare,incident,bare,1,15262,0,97,0,15359
gpt-6-astra-incident-0-bare,incident,bare,2,15457,15104,41,0,15498
gpt-6-astra-incident-0-bare,incident,bare,3,25948,15232,94,0,26042
gpt-6-astra-incident-0-bare,incident,bare,4,26364,25728,1073,0,27437
gpt-6-astra-incident-0-bare,incident,bare,5,27525,26240,80,0,27605
gpt-6-astra-incident-0-combined,incident,combined,1,16289,0,104,0,16393
gpt-6-astra-incident-0-combined,incident,combined,2,17100,16128,183,0,17283
gpt-6-astra-incident-0-combined,incident,combined,3,40776,16896,962,0,41738
gpt-6-astra-incident-0-combined,incident,combined,4,41815,40576,56,0,41871
gpt-6-astra-incident-1-combined,incident,combined,1,16287,9600,103,0,16390
gpt-6-astra-incident-1-combined,incident,combined,2,17097,16128,151,0,17248
gpt-6-astra-incident-1-combined,incident,combined,3,40755,16896,780,0,41535
gpt-6-astra-incident-1-combined,incident,combined,4,41616,40576,66,0,41682
gpt-6-astra-incident-1-bare,incident,bare,1,15262,8832,110,0,15372
gpt-6-astra-incident-1-bare,incident,bare,2,15470,15104,33,0,15503
gpt-6-astra-incident-1-bare,incident,bare,3,25949,15232,94,0,26043
gpt-6-astra-incident-1-bare,incident,bare,4,26365,25728,965,0,27330
gpt-6-astra-incident-1-bare,incident,bare,5,27417,26240,70,0,27487
