id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-astra-incident-0-bare,incident,bare,1,15262,8832,113,0,15375
gpt-6-astra-incident-0-bare,incident,bare,2,15473,15104,33,0,15506
gpt-6-astra-incident-0-bare,incident,bare,3,25952,15232,94,0,26046
gpt-6-astra-incident-0-bare,incident,bare,4,26369,25728,1091,0,27460
gpt-6-astra-incident-0-bare,incident,bare,5,27549,26240,86,0,27635
gpt-6-astra-incident-0-combined,incident,combined,1,16298,0,81,0,16379
gpt-6-astra-incident-0-combined,incident,combined,2,17197,16128,159,0,17356
gpt-6-astra-incident-0-combined,incident,combined,3,29212,17024,1000,0,30212
gpt-6-astra-incident-0-combined,incident,combined,4,30293,0,78,0,30371
gpt-6-astra-incident-1-combined,incident,combined,1,16289,9600,104,0,16393
gpt-6-astra-incident-1-combined,incident,combined,2,17101,16128,166,0,17267
gpt-6-astra-incident-1-combined,incident,combined,3,29121,16896,918,0,30039
gpt-6-astra-incident-1-combined,incident,combined,4,30121,28928,62,0,30183
gpt-6-astra-incident-1-bare,incident,bare,1,15254,8832,110,0,15364
gpt-6-astra-incident-1-bare,incident,bare,2,15460,15104,49,0,15509
gpt-6-astra-incident-1-bare,incident,bare,3,25978,15232,79,0,26057
gpt-6-astra-incident-1-bare,incident,bare,4,26336,25856,989,0,27325
gpt-6-astra-incident-1-bare,incident,bare,5,27415,26112,81,0,27496
