id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-astra-cross_file-0-bare,cross_file,bare,1,15154,0,147,0,15301
gpt-6-astra-cross_file-0-bare,cross_file,bare,2,15422,14976,70,0,15492
gpt-6-astra-cross_file-0-bare,cross_file,bare,3,16070,15232,2445,288,18515
gpt-6-astra-cross_file-0-bare,cross_file,bare,4,18603,15872,118,83,18721
gpt-6-astra-cross_file-0-bare,cross_file,bare,5,22504,18432,545,0,23049
gpt-6-astra-cross_file-0-bare,cross_file,bare,6,23454,22272,896,29,24350
gpt-6-astra-cross_file-0-bare,cross_file,bare,7,24496,23296,77,0,24573
gpt-6-astra-cross_file-0-combined,cross_file,combined,1,16062,0,86,0,16148
gpt-6-astra-cross_file-0-combined,cross_file,combined,2,16267,15872,46,0,16313
gpt-6-astra-cross_file-0-combined,cross_file,combined,3,16700,16128,834,137,17534
gpt-6-astra-cross_file-0-combined,cross_file,combined,4,17761,16512,1436,0,19197
gpt-6-astra-cross_file-0-combined,cross_file,combined,5,19469,17664,598,11,20067
gpt-6-astra-cross_file-0-combined,cross_file,combined,6,20214,19328,77,0,20291
gpt-6-astra-incident-0-combined,incident,combined,1,16176,0,100,0,16276
gpt-6-astra-incident-0-combined,incident,combined,2,17073,16000,109,0,17182
gpt-6-astra-incident-0-combined,incident,combined,3,18385,16896,175,0,18560
gpt-6-astra-incident-0-combined,incident,combined,4,29077,18176,49,0,29126
gpt-6-astra-incident-0-combined,incident,combined,5,29432,28928,1152,9,30584
gpt-6-astra-incident-0-combined,incident,combined,6,30624,29312,956,6,31580
gpt-6-astra-incident-0-combined,incident,combined,7,31695,30464,81,0,31776
gpt-6-astra-incident-0-bare,incident,bare,1,15261,8832,104,0,15365
gpt-6-astra-incident-0-bare,incident,bare,2,15465,15104,33,0,15498
gpt-6-astra-incident-0-bare,incident,bare,3,25946,15232,94,0,26040
gpt-6-astra-incident-0-bare,incident,bare,4,26362,25728,1088,0,27450
gpt-6-astra-incident-0-bare,incident,bare,5,27546,26240,77,0,27623
gpt-6-astra-semantic-0-bare,semantic,bare,1,15156,8832,101,0,15257
gpt-6-astra-semantic-0-bare,semantic,bare,2,15357,14976,35,0,15392
gpt-6-astra-semantic-0-bare,semantic,bare,3,23398,15232,238,0,23636
gpt-6-astra-semantic-0-bare,semantic,bare,4,24999,23168,90,25,25089
gpt-6-astra-semantic-0-bare,semantic,bare,5,25744,24832,728,0,26472
gpt-6-astra-semantic-0-bare,semantic,bare,6,26560,25600,47,0,26607
gpt-6-astra-semantic-0-combined,semantic,combined,1,16072,0,112,0,16184
gpt-6-astra-semantic-0-combined,semantic,combined,2,16980,15872,109,0,17089
gpt-6-astra-semantic-0-combined,semantic,combined,3,18196,16896,195,0,18391
gpt-6-astra-semantic-0-combined,semantic,combined,4,26473,18048,203,17,26676
gpt-6-astra-semantic-0-combined,semantic,combined,5,27994,26368,63,0,28057
gpt-6-astra-semantic-0-combined,semantic,combined,6,28737,27904,525,0,29262
gpt-6-astra-semantic-0-combined,semantic,combined,7,29343,28544,40,0,29383
gpt-6-astra-cross_file-1-combined,cross_file,combined,1,16062,9600,89,0,16151
gpt-6-astra-cross_file-1-combined,cross_file,combined,2,16270,15872,63,0,16333
gpt-6-astra-cross_file-1-combined,cross_file,combined,3,16721,16128,792,119,17513
gpt-6-astra-cross_file-1-combined,cross_file,combined,4,17577,16512,2078,0,19655
gpt-6-astra-cross_file-1-combined,cross_file,combined,5,19987,17408,780,9,20767
gpt-6-astra-cross_file-1-combined,cross_file,combined,6,20914,19840,73,0,20987
