id,model,task,repeat,arm,startedAt,status,passed,wallMs,startupMs,totalMs,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,uncachedInputTokens,generations,jevCalls,jevFailures,jevUnknownUsage,jevInputTokens,jevOutputTokens,jevRequestMs,routerDecisions,routerDecisionMs,startChanges,nativeAppliedChanges,nativeRestores,preparedOutputs,evidenceOperations,recalls,hookSubmissions,knownAllModelTokens,budgetHeldDecisions,recommendedChanges,knownJevInputUsdEstimate,usageNotifications,duplicateUsageNotifications,firstInputTokens,historyGrowthTokens,commands,identicalCommandRepeats,observedToolSpanUnionMs,nativeCommandDurationUsable
gpt-6-astra-cross_file-0-bare,gpt-6-astra,cross_file,0,bare,2026-09-23T17:34:36.783Z,completed,True,145112,68,145180,135703,110080,4298,400,140001,25623,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140001,0,0,0.0,7,0,15154,29625,6,0,287.04,False
gpt-6-astra-cross_file-0-combined,gpt-6-astra,cross_file,0,combined,2026-09-23T17:37:02.097Z,completed,True,111319,183,111502,106473,85504,3077,148,109550,20969,6,5,0,0,9290,530,3455,5,3666,0,0,0,0,0,0,0,119370,2,2,0.00039018,6,0,16062,10101,5,0,176.89,False
gpt-6-astra-incident-0-combined,gpt-6-astra,incident,0,combined,2026-09-23T17:38:53.733Z,completed,True,96196,180,96376,172462,139776,2622,15,175084,32686,7,4,0,0,7862,424,2437,4,2596,0,0,0,0,1,0,0,183370,1,1,0.000330204,7,0,16176,59230,5,0,18.92,False
gpt-6-astra-incident-0-bare,gpt-6-astra,incident,0,bare,2026-09-23T17:40:30.196Z,completed,True,57359,68,57427,110580,91136,1396,0,111976,19444,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111976,0,0,0.0,5,0,15261,34275,4,0,118.127,False
gpt-6-astra-semantic-0-bare,gpt-6-astra,semantic,0,bare,2026-09-23T17:41:27.700Z,completed,True,53733,68,53801,131214,112640,1239,25,132453,18574,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132453,0,0,0.0,6,0,15156,40278,5,0,64.344,False
gpt-6-astra-semantic-0-combined,gpt-6-astra,semantic,0,combined,2026-09-23T17:42:21.581Z,completed,True,55935,182,56117,163795,133632,1247,17,165042,30163,7,4,0,0,6979,424,2345,4,2505,0,0,0,0,1,0,0,172445,0,0,0.000293118,7,0,16072,51291,5,0,83.943,False
gpt-6-astra-cross_file-1-combined,gpt-6-astra,cross_file,1,combined,2026-09-23T17:43:17.788Z,completed,True,133152,181,133333,107531,95360,3875,128,111406,12171,6,5,0,0,7998,530,3239,5,3451,0,0,0,0,0,0,0,119934,1,1,0.000335916,6,0,16062,11159,5,0,310.275,False
gpt-6-astra-cross_file-1-bare,gpt-6-astra,cross_file,1,bare,2026-09-23T17:45:31.258Z,completed,True,140601,69,140670,129436,104704,4227,508,133663,24732,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133663,0,0,0.0,7,0,15147,23407,8,0,291.783,False
gpt-6-astra-incident-1-bare,gpt-6-astra,incident,1,bare,2026-09-23T17:47:52.059Z,completed,True,50042,67,50109,110377,82176,1300,0,111677,28201,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111677,0,0,0.0,5,0,15255,34102,4,0,121.685,False
gpt-6-astra-incident-1-combined,gpt-6-astra,incident,1,combined,2026-09-23T17:48:42.244Z,completed,True,65500,178,65678,140421,114432,1582,10,142003,25989,6,4,0,0,7756,424,3679,4,3839,0,0,0,0,1,0,0,150183,1,1,0.000325752,6,0,16190,43281,4,0,140.75,False
gpt-6-astra-semantic-1-combined,gpt-6-astra,semantic,1,combined,2026-09-23T17:49:48.007Z,completed,True,58380,179,58559,163835,133632,1300,41,165135,30203,7,4,0,0,6984,424,2970,4,3129,0,0,0,0,1,0,0,172543,0,0,0.00029332800000000003,7,0,16072,51331,5,0,84.556,False
gpt-6-astra-semantic-1-bare,gpt-6-astra,semantic,1,bare,2026-09-23T17:50:46.654Z,completed,True,49467,68,49535,131332,103936,1266,41,132598,27396,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132598,0,0,0.0,6,0,15157,40390,5,0,63.587,False
