id,generation,totalTokens,inputTokens,cachedInputTokens,cacheWriteInputTokens,outputTokens,reasoningOutputTokens
gpt-6-sol-bug_fix-0-bare,1,14966,14761,8320,0,205,11
gpt-6-sol-bug_fix-0-bare,2,15457,15262,14592,0,195,0
gpt-6-sol-bug_fix-0-bare,3,16279,15756,15104,0,523,262
gpt-6-sol-bug_fix-0-bare,4,17580,16303,15616,0,1277,95
gpt-6-sol-bug_fix-0-bare,5,17843,17604,16128,0,239,7
gpt-6-sol-bug_fix-0-bare,6,18442,18122,17408,0,320,99
gpt-6-sol-bug_fix-0-idle,1,14991,14768,0,0,223,11
gpt-6-sol-bug_fix-0-idle,2,15226,15025,14592,0,201,26
gpt-6-sol-bug_fix-0-idle,3,15698,15523,14848,0,175,0
gpt-6-sol-bug_fix-0-idle,4,16664,15956,15360,0,708,390
gpt-6-sol-bug_fix-0-idle,5,18066,16688,8320,0,1378,269
gpt-6-sol-bug_fix-0-idle,6,18288,18090,15744,0,198,50
gpt-6-sol-bug_fix-0-idle,7,18586,18312,17920,0,274,8
gpt-6-sol-bug_fix-0-idle,8,18891,18610,18176,0,281,7
gpt-6-sol-bug_fix-0-idle,9,19809,19440,18432,0,369,150
gpt-6-sol-bug_fix-0-auto,1,15934,15690,0,0,244,25
gpt-6-sol-bug_fix-0-auto,2,16448,16236,15488,0,212,0
gpt-6-sol-bug_fix-0-auto,3,17226,16766,0,0,460,319
gpt-6-sol-bug_fix-0-auto,4,18053,17624,16000,0,429,141
gpt-6-sol-bug_fix-0-auto,5,19438,18077,16640,0,1361,202
gpt-6-sol-bug_fix-0-auto,6,19771,19462,17920,0,309,7
gpt-6-sol-bug_fix-0-auto,7,20812,20583,17408,0,229,61
gpt-6-sol-incident-0-auto,1,15980,15727,9088,0,253,36
gpt-6-sol-incident-0-auto,2,16376,16148,15488,0,228,48
gpt-6-sol-incident-0-auto,3,17261,17052,16000,0,209,15
gpt-6-sol-incident-0-auto,4,20477,19772,16896,0,705,85
gpt-6-sol-incident-0-auto,5,21001,20501,19584,0,500,25
gpt-6-sol-incident-0-auto,6,21281,21136,20352,0,145,0
gpt-6-sol-incident-0-idle,1,14953,14820,8320,0,133,11
gpt-6-sol-incident-0-idle,2,25511,25454,14592,0,57,9
gpt-6-sol-incident-0-idle,3,26393,25767,25216,0,626,43
gpt-6-sol-incident-0-idle,4,26676,26417,25600,0,259,24
gpt-6-sol-incident-0-idle,5,26968,26798,26240,0,170,0
gpt-6-sol-incident-0-bare,1,14941,14819,8320,0,122,11
gpt-6-sol-incident-0-bare,2,25497,25442,14592,0,55,9
gpt-6-sol-incident-0-bare,3,26347,25745,25216,0,602,32
gpt-6-sol-incident-0-bare,4,26620,26371,25600,0,249,27
gpt-6-sol-incident-0-bare,5,26907,26745,26240,0,162,0
