kind,case,repetition,variant,elapsedMs,calls,questions,requestBytes,peakConcurrent,passed,inputTokens,outputTokens,missingUsage
offline,required-tools,0,baseline,44.997625,1,12,4029,1,True,,,1
offline,required-tools,0,optimized,0.24562499999998977,0,0,0,0,True,,,0
offline,review,0,baseline,86.477458,2,13,4760,1,True,,,2
offline,review,0,optimized,43.76558300000002,2,4,1777,2,True,,,2
offline,quality,0,baseline,85.90545799999998,2,2,1056,1,True,,,2
offline,quality,0,optimized,42.97641699999997,2,2,1056,2,True,,,2
offline,shifted-context,0,baseline,216.14616600000005,5,5,5645,1,True,,,5
offline,shifted-context,0,optimized,44.59220800000003,1,1,1105,1,True,,,1
offline,required-tools,1,optimized,0.10312499999997726,0,0,0,0,True,,,0
offline,required-tools,1,baseline,43.011041999999975,1,12,4029,1,True,,,1
offline,review,1,optimized,43.40529199999992,2,4,1777,2,True,,,2
offline,review,1,baseline,85.848209,2,13,4760,1,True,,,2
offline,quality,1,optimized,43.289333000000056,2,2,1056,2,True,,,2
offline,quality,1,baseline,85.49558400000001,2,2,1056,1,True,,,2
offline,shifted-context,1,optimized,44.30366600000002,1,1,1105,1,True,,,1
offline,shifted-context,1,baseline,212.67108400000006,5,5,5645,1,True,,,5
offline,required-tools,2,baseline,43.11029099999996,1,12,4029,1,True,,,1
offline,required-tools,2,optimized,0.08629199999995762,0,0,0,0,True,,,0
offline,review,2,baseline,85.72187499999995,2,13,4760,1,True,,,2
offline,review,2,optimized,41.83941700000014,2,4,1777,2,True,,,2
offline,quality,2,baseline,85.51812500000005,2,2,1056,1,True,,,2
offline,quality,2,optimized,41.82079099999987,2,2,1056,2,True,,,2
offline,shifted-context,2,baseline,213.50604099999987,5,5,5645,1,True,,,5
offline,shifted-context,2,optimized,44.06079199999999,1,1,1105,1,True,,,1
live,required-tools,0,baseline,661.1664159999999,1,12,4029,1,True,1653,437,0
live,required-tools,0,optimized,0.24370799999996962,0,0,0,0,True,0,0,0
live-suite,required-tools,0,baseline,4035.084,1,12,4029,1,True,1653,437,0
live-suite,required-tools,0,optimized,0.23337499999979627,0,0,0,0,True,0,0,0
live-suite,review,0,baseline,913.6423329999998,2,13,5384,1,True,2270,491,0
live-suite,review,0,optimized,706.3304579999995,2,4,2014,2,True,1116,156,0
live-suite,quality,0,baseline,1006.1059169999999,2,2,1056,1,True,820,78,0
live-suite,quality,0,optimized,623.9958749999996,2,2,1056,1,True,820,78,0
live-suite,shifted-context,0,baseline,4467.426041,5,5,5645,1,False,2615,195,0
live-suite,shifted-context,0,optimized,981.1735000000008,1,1,1105,1,False,516,39,0
